OBJECTID,Join_Count,TARGET_FID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,LOGPL94171,LOGSF1,LOGACS0610,LOGSF1C,area_km,area_mi,POLY_AREA,geoid_2010,OBJECTID,Boston_tracts_for_data_OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,LOGPL94171,LOGSF1,LOGACS0610,LOGSF1C,area_km,area_mi,POLY_AREA,geoid_2010,Boston_tracts_for_data_Shape_Len,Boston_tracts_for_data_Shape_Are,HVI_variables_2011_ExcelToTa_OBJ,GEOID10_1,tract_area,highdev_percent,GEOid,undev_percent,geoid11,hispanic,foreign,english,poverty,black,over65,disability,oldhouse,housing,unwt_housing,unemployed,alone65house,housingdensity,unwt_housingdensity,undev_wt,highdev_wt,hispanic_wt,foreign_wt,english_wt,poverty_wt,black_wt,over65_wt,disability_wt,oldhouse_wt,housingdensity_wt,unemployed_wt,alone65house_wt,factor1,factor2,factor3,factor4,factor5,HVI,factor1_cat,factor2_cat,factor3_cat,factor4_cat,factor5_cat,HVI_cat,OBJECTID,GEOID10,NAMELSAD10,COUNT,AREA,MEAN,GEOid,Shape_Length,Shape_Area
1,2,1,25,021,416102,25021416102,4161.02,Census Tract 4161.02,G5020,13311437,182257,+42.2259907,-071.1000663,145234039.7,3334.1148,3810,1027,0141773,123665,0003671,0123665,13.4927377,5.20955431,13.4927377,25021416102,1,1,25,021,416102,25021416102,4161.02,Census Tract 4161.02,G5020,13311437,182257,+42.2259907,-071.1000663,145234039.7,3334.1148,3810,1027,0141773,123665,0003671,0123665,13.4927377,5.20955431,13.4927377,25021416102,4935.814276,10926.0792,934,25021416102,13.4927377,0.004729586,25021416102,0.66373691,25021416102,0.026006502,0.12028007,0.045011253,0.019004751,0.069517379,0.169792448,0.028507127,0.508438819,948,93,0.023005751,0.249460043,70.2600185,6.892596751,-0.391604777,0.002601272,0.021845461,0.105846462,0.041860465,0.011782946,0.059784946,0.154511128,0.023375844,0.472848101,60.42361591,0.017944486,0.236987041,-1.104258201,-0.981937791,1.105792231,-0.993366569,-2.15034271,-4.124113039,2,3,5,3,1,14,1,25025140201,Census Tract 1402.01,1550,1395000,35.26601174,25025140201,4935.814276,10926.0792
2,1,2,25,021,403100,25021403100,4031,Census Tract 4031,G5020,6588495,368154,+42.2793710,-071.2072017,74875329.03,1718.901,6841,2362,0141578,123470,0003629,0123470,6.956173527,2.685782871,6.956173527,25021403100,2,2,25,021,403100,25021403100,4031,Census Tract 4031,G5020,6588495,368154,+42.2793710,-071.2072017,74875329.03,1718.901,6841,2362,0141578,123470,0003629,0123470,6.956173527,2.685782871,6.956173527,25021403100,770.278526,2324.850873,892,25021403100,6.956173527,0.019671254,25021403100,0.312955679,25021403100,0.044332791,0.092951086,0.037535097,0.031476282,0.011526526,0.137727206,0.022609724,0.84529437,2327,150,0.015959805,0.094765343,334.5229947,21.56357937,-0.18464385,0.01081919,0.037239545,0.081796956,0.03490764,0.019515295,0.009912812,0.125331757,0.018539973,0.786123765,287.6897754,0.012448648,0.090027076,-1.148966576,-1.152324319,0.038829549,-0.924502613,0.115656182,-3.071307778,2,2,4,3,4,15,2,25025130100,Census Tract 1301,4824,4341600,31.11609837,25025130100,770.278526,2324.850873
3,2,3,25,021,416400,25021416400,4164,Census Tract 4164,G5020,4623665,348189,+42.2616944,-071.0494372,50086262.38,1149.8224,6069,2236,0141790,123682,0003674,0123682,4.653184633,1.796597445,4.653184633,25021416400,3,3,25,021,416400,25021416400,4164,Census Tract 4164,G5020,4623665,348189,+42.2616944,-071.0494372,50086262.38,1149.8224,6069,2236,0141790,123682,0003674,0123682,4.653184633,1.796597445,4.653184633,25021416400,26.7118576,28.01734877,937,25021416400,4.653184633,0.055104367,25021416400,0.225375068,25021416400,0.061803279,0.101147541,0.024918033,0.006393443,0.013114754,0.141147541,0.021311475,0.891600188,2131,129,0.020983607,0.08212107,457.965924,27.72294894,-0.13297129,0.030307402,0.051914754,0.089009836,0.02317377,0.003963934,0.011278689,0.128444262,0.01747541,0.829188175,393.8506946,0.016367213,0.078015016,-1.119880756,-1.189120145,-0.015079433,-0.892343662,0.42715151,-2.789272486,2,2,3,3,4,14,3,25025100800,Census Tract 1008,1944,1749600,32.83562485,25025100800,26.7118576,28.01734877
4,3,4,25,021,416300,25021416300,4163,Census Tract 4163,G5020,2664133,96544,+42.2627184,-071.0767006,29713556.78,682.1294,4749,1824,0141784,123676,0003673,0123676,2.760490796,1.065827192,2.760490796,25021416300,4,4,25,021,416300,25021416300,4163,Census Tract 4163,G5020,2664133,96544,+42.2627184,-071.0767006,29713556.78,682.1294,4749,1824,0141784,123676,0003673,0123676,2.760490796,1.065827192,2.760490796,25021416300,210.9437971,282.0817134,936,25021416300,2.760490796,0.02073981,25021416300,0.086316886,25021416300,0.075249136,0.094366484,0.072808623,0.073011999,0.217612365,0.131380923,0.038844824,0.915225878,1793,144,0.055928412,0.181184669,649.52218,52.16463688,-0.050926963,0.011406896,0.063209274,0.083042506,0.06771202,0.045267439,0.187146634,0.11955664,0.031852756,0.851160067,558.5890748,0.043624161,0.172125436,-0.977045842,-0.348720736,0.50115701,-0.842454362,0.586079539,-1.080984391,3,3,4,3,4,17,4,25025100800,Census Tract 1008,1944,1749600,32.83562485,25025100800,210.9437971,282.0817134
5,4,5,25,021,416200,25021416200,4162,Census Tract 4162,G5020,3458105,59915,+42.2545233,-071.0958630,37864854.63,869.2575,6651,2411,0141776,123668,0003672,0123668,3.517774186,1.358214774,3.517774186,25021416200,5,5,25,021,416200,25021416200,4162,Census Tract 4162,G5020,3458105,59915,+42.2545233,-071.0958630,37864854.63,869.2575,6651,2411,0141776,123668,0003672,0123668,3.517774186,1.358214774,3.517774186,25021416200,855.1418097,135.5571715,935,25021416200,3.517774186,0.022550821,25021416200,0.112892526,25021416200,0.033283133,0.159186747,0.049246988,0.068674699,0.360692771,0.103162651,0.02876506,0.904864399,2323,135,0.034939759,0.080973451,660.36075,38.3765395,-0.06660659,0.012402952,0.027957831,0.140084337,0.045799699,0.042578313,0.310195783,0.093878012,0.023587349,0.841523892,567.910245,0.027253012,0.076924779,-0.977395104,-0.037885497,-0.231068336,-0.839637069,0.516378744,-1.569607262,3,3,3,3,4,16,5,25025140300,Census Tract 1403,1763,1586700,35.90661901,25025140300,855.1418097,135.5571715
6,1,6,25,021,402300,25021402300,4023,Census Tract 4023,G5020,4210825,64081,+42.2235593,-071.1542001,46011297.93,1056.2741,4549,1648,0141564,123456,0003626,0123456,4.274606569,1.650428221,4.274606569,25021402300,6,6,25,021,402300,25021402300,4023,Census Tract 4023,G5020,4210825,64081,+42.2235593,-071.1542001,46011297.93,1056.2741,4549,1648,0141564,123456,0003626,0123456,4.274606569,1.650428221,4.274606569,25021402300,154.6009068,18.29193169,889,25021402300,4.274606569,0.050749062,25021402300,0.328427454,25021402300,0.050120376,0.059969359,0.051433574,0.005471657,0.020792296,0.230466185,0.026701685,0.855254877,1589,168,0.031297877,0.080357143,371.730117,39.30186259,-0.193772198,0.027911984,0.042101116,0.052773036,0.047833224,0.003392427,0.017881374,0.209724228,0.021895382,0.795387036,319.6879006,0.024412344,0.076339286,-1.181153244,-1.129058633,0.467122616,-0.914813617,0.182659671,-2.575243207,2,2,4,3,4,15,6,25025140201,Census Tract 1402.01,1550,1395000,35.26601174,25025140201,154.6009068,18.29193169
7,2,7,25,021,402102,25021402102,4021.02,Census Tract 4021.02,G5020,1888079,73877,+42.2499646,-071.1526358,21116718.6,484.7732,4063,1769,0141556,123448,0003624,0123448,1.961815224,0.757458063,1.961815224,25021402102,7,7,25,021,402102,25021402102,4021.02,Census Tract 4021.02,G5020,1888079,73877,+42.2499646,-071.1526358,21116718.6,484.7732,4063,1769,0141556,123448,0003624,0123448,1.961815224,0.757458063,1.961815224,25021402102,4840.139742,13120.28745,887,25021402102,1.961815224,0.113455605,25021402102,0.044307745,25021402102,0.149503398,0.272608468,0.22843701,0.121798223,0.077888134,0.144798745,0.057501307,0.850835322,1676,144,0.052273915,0.10793238,854.310834,73.40140817,-0.02614157,0.062400583,0.125582854,0.239895452,0.212446419,0.075514898,0.066983795,0.131766858,0.047151072,0.79127685,734.7073173,0.040773654,0.102535761,0.06548641,-0.60027505,0.153581389,-0.789116285,0.152929697,-1.017393839,4,3,4,3,4,18,7,25025140102,Census Tract 1401.02,2343,2108700,34.67861274,25025140102,4840.139742,13120.28745
8,2,8,25,021,402200,25021402200,4022,Census Tract 4022,G5020,1163639,2515,+42.2346920,-071.1443956,12551482.04,288.1424,2169,861,0141561,123453,0003625,0123453,1.166075454,0.450222449,1.166075454,25021402200,8,8,25,021,402200,25021402200,4022,Census Tract 4022,G5020,1163639,2515,+42.2346920,-071.1443956,12551482.04,288.1424,2169,861,0141561,123453,0003625,0123453,1.166075454,0.450222449,1.166075454,25021402200,841.0332322,120.8781716,888,25021402200,1.166075454,0.115409983,25021402200,0.032441483,25021402200,0.04009324,0.12960373,0.037762238,0.016317016,0.118414918,0.162237762,0.034965035,0.882915173,837,108,0.044755245,0.146401985,717.7923153,92.61836326,-0.019140475,0.063475491,0.033678322,0.114051282,0.035118881,0.01011655,0.10183683,0.147636364,0.028671329,0.821111111,617.3013912,0.034909091,0.139081886,-1.066172768,-0.778513765,0.47108867,-0.824655377,0.36872815,-1.829525091,2,3,4,3,4,16,8,25025140201,Census Tract 1402.01,1550,1395000,35.26601174,25025140201,841.0332322,120.8781716
9,3,9,25,021,402101,25021402101,4021.01,Census Tract 4021.01,G5020,4027285,347797,+42.2668165,-071.1818415,47089439.85,1081.0248,3634,1560,0141551,123443,0003623,0123443,4.374769628,1.68910124,4.374769628,25021402101,9,9,25,021,402101,25021402101,4021.01,Census Tract 4021.01,G5020,4027285,347797,+42.2668165,-071.1818415,47089439.85,1081.0248,3634,1560,0141551,123443,0003623,0123443,4.374769628,1.68910124,4.374769628,25021402101,1629.687532,3031.600308,886,25021402101,4.374769628,0.067400775,25021402101,0.409029333,25021402101,0.030090791,0.17769131,0.059403372,0.061478599,0.095719844,0.187289235,0.016601816,0.865147783,1624,154,0.040207523,0.123472669,371.2195471,35.20185361,-0.241327306,0.037070426,0.025276265,0.156368353,0.055245136,0.038116732,0.082319066,0.170433204,0.013613489,0.804587438,319.2488105,0.031361868,0.117299035,-0.911376576,-0.81138423,0.477230904,-0.914958163,0.249208416,-1.911279649,3,3,4,3,4,17,9,25025130402,Census Tract 1304.02,2265,2038500,35.91762295,25025130402,1629.687532,3031.600308
10,3,10,25,021,401200,25021401200,4012,Census Tract 4012,G5020,6692464,32335,+42.3146076,-071.1530601,72379953.68,1661.6151,7031,2645,0141546,123438,0003622,0123438,6.724344642,2.596273596,6.724344642,25021401200,10,10,25,021,401200,25021401200,4012,Census Tract 4012,G5020,6692464,32335,+42.3146076,-071.1530601,72379953.68,1661.6151,7031,2645,0141546,123438,0003622,0123438,6.724344642,2.596273596,6.724344642,25021401200,3461.822998,2174.194483,885,25021401200,6.724344642,0.031401188,25021401200,0.208929935,25021401200,0.009670638,0.287035739,0.131464611,0.028591451,0.028591451,0.167484233,0.026629292,0.78453646,2729,145,0.022564821,0.129241327,405.8388059,21.56343967,-0.123268662,0.017270653,0.008123336,0.252591451,0.122262088,0.017726699,0.024588648,0.152410652,0.02183602,0.729618908,349.0213731,0.017600561,0.12277926,-0.492923593,-1.083044216,0.401255854,-0.905915562,-0.293057157,-2.373684675,3,2,4,3,3,15,10,25025130100,Census Tract 1301,4824,4341600,31.11609837,25025130100,3461.822998,2174.194483
