GEOID10,Existing TC Area (SqFt),Potential Veg to TC Area (SqFt)
25025000100,2536821,3045336.75
25025000201,1704342.938,1024060.5
25025000202,1617264.563,1235707.313
25025000301,2037101.063,883689.75
25025000302,2396022.75,1172982.375
25025000401,1204653.938,621715.5
25025000402,2940338.813,1989639.563
25025000502,2818757.25,1797493.5
25025000503,344975.625,115503.75
25025000504,932662.125,296202.9375
25025000601,1072198.688,819876.9375
25025000602,2028886.875,907826.0625
25025000701,445091.0625,188023.5
25025000703,176051.8125,62496.5625
25025000704,314925.75,146494.125
25025000802,1503367.313,873990.5625
25025000803,1448894.813,1710726.188
25025010103,367620.75,245051.4375
25025010104,413849.25,172431
25025010203,405924.75,279384.1875
25025010204,262278.5625,106858.125
25025010300,894737.8125,644659.3125
25025010403,77880.9375,34080.1875
25025010404,192222,82540.125
25025010405,653442.1875,374707.125
25025010408,80360.4375,39582.5625
25025010500,236049.75,86008.5
25025010600,219243.9375,53636.0625
25025010701,451673.4375,55265.625
25025010702,605175.1875,108811.125
25025010801,234709.3125,42946.875
25025010802,332343.5625,73164.9375
25025020101,474744.375,51772.5
25025020200,173670.1875,19603.125
25025020301,416840.625,160284.375
25025020302,100160.4375,48774.9375
25025020303,348434.4375,230935.5
25025030100,112992.75,47699.4375
25025030200,25167.9375,13781.8125
25025030300,585305.4375,236324.25
25025030400,83910.9375,33816.9375
25025030500,158666.625,131878.6875
25025040100,445077.5625,204238.6875
25025040200,304325.4375,106985.8125
25025040300,456899.0625,157061.8125
25025040401,583414.875,608599.125
25025040600,1238256.563,1911776.625
25025040801,742813.3125,825144.75
25025050101,361902.375,226958.625
25025050200,326857.5,139374.5625
25025050300,299921.625,456957.5625
25025050400,151250.625,102592.125
25025050500,122040,115369.3125
25025050600,194061.375,79901.4375
25025050700,408058.3125,368047.6875
25025050901,492099.1875,687572.4375
25025051000,1411234.875,2331673.313
25025051101,2189369.25,2535264
25025051200,555551.4375,473307.1875
25025060101,393370.875,247361.625
25025060200,271989,183360.9375
25025060301,470979,212797.125
25025060400,745685.4375,486934.3125
25025060501,553016.25,503440.875
25025060600,566951.0625,638727.75
25025060700,272571.75,139155.75
25025060800,379947.375,168092.4375
25025061000,298252.6875,147875.625
25025061101,574608.375,235202.0625
25025061200,675526.5,856900.125
25025070101,470925,461572.875
25025070200,201308.0625,73352.8125
25025070300,545444.4375,87820.875
25025070402,328762.6875,66508.875
25025070500,811725.75,203663.8125
25025070600,389836.125,29748.9375
25025070700,378849.9375,56421
25025070800,490536,135284.0625
25025070900,372912.1875,90412.875
25025071101,517242.9375,316282.5
25025071201,324569.8125,246011.625
25025080100,808540.875,793031.625
25025080300,665644.5,385435.125
25025080401,886327.3125,505521.5625
25025080500,585322.3125,447253.875
25025080601,874399.5,839083.5
25025080801,675358.875,560917.6875
25025080900,557783.4375,410508
25025081001,883420.3125,472516.875
25025081100,1784832.188,670059.5625
25025081200,686027.8125,364943.25
25025081300,1367532,827358.1875
25025081400,2120648.625,970499.25
25025081500,1268832.375,654660
25025081700,1862250.75,1081182.375
25025081800,986267.8125,628777.6875
25025081900,1235057.063,888140.8125
25025082000,1074094.313,700660.6875
25025082100,942288.1875,618265.6875
25025090100,991632.375,615504.9375
25025090200,508923.5625,306302.0625
25025090300,775123.875,683832.375
25025090400,970656.1875,828785.25
25025090600,550036.125,462060
25025090700,1141381.688,940071.375
25025090901,1801202.625,2061118.125
25025091001,2374647.75,1919989.125
25025091100,758547,448954.875
25025091200,856719,380034
25025091300,459948.375,268054.3125
25025091400,906907.5,534601.6875
25025091500,1249073.438,432777.9375
25025091600,683093.8125,371240.4375
25025091700,589991.0625,655647.75
25025091800,1124033.625,586137.9375
25025091900,1594083.375,754419.375
25025092000,1080943.875,652439.8125
25025092101,2444637.938,1748949.75
25025092200,1806927.188,959301
25025092300,871700.0625,497669.0625
25025092400,1376767.688,1078333.875
25025100100,2174344.313,3932301.375
25025100200,1032391.125,655949.8125
25025100300,1549221.75,821963.25
25025100400,1768453.875,1096873.875
25025100500,2429943.75,1396961.438
25025100601,1293535.125,883381.5
25025100603,1594115.438,1962886.5
25025100700,2077235.438,4014595.688
25025100800,6091728.75,5695434.563
25025100900,3336528.938,1817083.125
25025101001,6144605.438,2132655.75
25025101002,4227796.688,2515654.125
25025101101,996001.3125,719816.0625
25025101102,1461973.5,1118858.625
25025110103,3316050,1230879.375
25025110201,1191653.438,581851.125
25025110301,2596021.313,2129488.875
25025110401,1877199.75,1097128.688
25025110403,3811770.563,2105971.875
25025110501,2127926.25,1428874.313
25025110502,2046289.5,1279545.188
25025110601,9353925,1949492.25
25025110607,4347225.563,2422657.688
25025120103,1485291.375,588055.5
25025120104,1162336.5,353512.125
25025120105,11532349.13,3618466.875
25025120201,2106257.625,809400.375
25025120301,2167647.188,870107.0625
25025120400,4209067.688,1492555.5
25025120500,641076.75,195801.1875
25025120600,975384.5625,349190.4375
25025120700,727139.25,416072.8125
25025130100,19600084.69,16539977.25
25025130200,4697170.313,3001555.125
25025130300,5593086.563,3396619.125
25025130402,6429043.688,4586863.5
25025130404,8496492.188,2788507.125
25025130406,4406761.688,2588204.813
25025140102,7949340.563,4655122.313
25025140105,5053154.625,1781335.125
25025140106,1148330.813,476430.1875
25025140107,2625381.563,1345240.688
25025140201,4241144.25,2935662.188
25025140202,6829590.375,3542513.063
25025140300,5076600.75,2900872.688
25025140400,7279392.375,3999359.813
25025980101,9261004.5,11428836.19
25025980300,12755142,6704802.563
25025980700,24660525.94,5164166.25
25025981000,8547752.813,2735835.188
25025981100,13954243.5,11232689.06
25025981201,1166614.313,3069893.25
25025981202,508953.9375,925805.8125
25025981300,886382.4375,20969892
25025981600,597897,5139957.375
25025981700,1338525,1109635.875
25025981800,4681428.188,1690251.188
